Title,Author,Description,Published_At,Content
Highlights: Hong Kong disrupted as citywide protests spread,Reuters Editorial,"Anti-government protesters paralyzed parts of Hong Kong for a fourth day on Thursday, forcing school to close and blocking highways and other transport to disrupt the financial hub amid a marked escalation of violence.",2019-11-14T06:29:54Z,"HONG KONG (Reuters) - Anti-government protesters paralyzed parts of Hong Kong for a fourth day on Thursday, forcing school to close and blocking highways and other transport to disrupt the financial hub amid a marked escalation of violence. 
Black-clad prote [+2532 chars]"
Hong Kong readies for more chaos as violence spreads citywide,Reuters Editorial,"Hong Kong prepared for more clashes on Wednesday as anti-government protesters planned to paralyze parts of the Asian financial hub for a third day, with transport, schools and many businesses closing after violence escalated across the city.",2019-11-13T02:08:02Z,"HONG KONG (Reuters) - Hong Kong prepared for more clashes on Wednesday as anti-government protesters planned to paralyze parts of the Asian financial hub for a third day, with transport, schools and many businesses closing after violence escalated across the  [+2576 chars]"
Wolfgang Rieder appointed Loeb Fellow at Harvard University,Dezeen staff,"Dezeen promotion: Wolfgang Rieder, owner of the Rieder Group, has become the first design entrepreneur to be granted a Loeb Fellowship at Harvard University. As one of the Loeb Fellows, the Austrian-based owner of the Rieder Group will spend the 2019/2020 sem",2019-11-27T14:00:35Z,"Dezeen promotion: Wolfgang Rieder, owner of the Rieder Group, has become the first design entrepreneur to be granted a Loeb Fellowship at Harvard University.
As one of the Loeb Fellows, the Austrian-based owner of the Rieder Group will spend the 2019/2020 se [+3413 chars]"
How to Declare Yourself Independent for College Financial Aid,"Farran Powell , Emma Kerr","Caitlin Cheney, a graduate of Washington State University, knew that paying for college was going to be a stretch when she couldn't afford the cost of a cap and gown at her high school graduation. ""I didn't have anyone to fall back on for financial support,"" ",2019-11-20T16:35:03Z,"Caitlin Cheney, a graduate of Washington State University, knew that paying for college was going to be a stretch when she couldn't afford the cost of a cap and gown at her high school graduation.
""I didn't have anyone to fall back on for financial support,"" [+5831 chars]"
Why We Took Our Fight for DACA Recipients All the Way to the Supreme Court,Brad Smith and Christopher L. Eisgruber,"Talent, from every source and background, is the lifeblood of innovation. As the presidents of Microsoft and Princeton University, we have seen firsthand how participants in the Deferred Action for Childhood Arrivals (DACA) program contribute to our instituti",2019-11-10T21:03:22Z,"Talent, from every source and background, is the lifeblood of innovation. As the presidents of Microsoft and Princeton University, we have seen firsthand how participants in the Deferred Action for Childhood Arrivals (DACA) program contribute to our instituti [+4293 chars]"
Two-thirds of graduate degree holders have regrets,Gwen Moran,"Consider these questions to avoid being one of them. With programs ranging from traditional college classrooms to accelerated or condensed executive education programs and online degrees, there are many opportunities to continue your education and earn a grad",2019-11-26T10:00:42Z,"With programs ranging from traditional college classrooms to accelerated or condensed executive education programs and online degrees, there are many opportunities to continue your education and earn a graduate degree, even while holding down a full-time job. [+3214 chars]"
Kenzie Academy is scaling up a coding program for the heartland,Eric Peckham,"The crowded landscape of programs teaching non-technical people to become software developers has been a proving ground for a new model of education financing: income share agreements (ISAs). With an ISA, students avoid paying tuition upfront or taking out pr",2019-11-08T21:55:39Z,"The crowded landscape of programs teaching non-technical people to become software developers has been a proving ground for a new model of education financing: income share agreements (ISAs). With an ISA, students avoid paying tuition upfront or taking out pr [+4681 chars]"
Protesters try to leave Hong Kong campus but avoid arrest,KEN MORITSUGU,"For days, Hong Kongs protesters fortified a university campus to keep police from getting in. Officers repelled one attempt Monday morning with tear gas, driving a few hundred protesters back into the Hong Kong Polytechnic campus. Anti-government protesters ",2019-11-18T04:06:24Z,"HONG KONG (AP) For days, Hong Kongs protesters fortified a university campus to keep police from getting in. Now, cornered by authorities, they are trying to get out.
Officers repelled one attempt Monday morning with tear gas, driving a few hundred protester [+3271 chars]"
Apple's Black Friday Gift Card Promotion Begins in United States,Joe Rossignol,"Apple's four-day Black Friday shopping event is now live in the United States, offering customers free Apple Store gift cards worth up to $200 with the purchase of select new Apple products. Gift card values in the United States: $200 for 13-inch MacBook Pro,",2019-11-29T11:49:05Z,"Apple's four-day Black Friday shopping event is now live in the United States, offering customers free Apple Store gift cards worth up to $200 with the purchase of select new Apple products.
Gift card values in the United States:
<ul><li>$200 for 13-inch Ma [+1379 chars]"
"Chinese, other students flee Hong Kong as violence worsens - CTV News",Ken Moritsugu and Patrick Quinn,"Chinese, other students flee Hong Kong as violence worsens CTV News University students flee Hong Kong as violent protests escalate Global News Police raise security around Hong Kong after night clashes CBC.ca Hong Kong is trying to impose Tiananmen by stealt",2019-11-13T05:17:00Z,"HONG KONG -- University students from mainland China and Taiwan are fleeing Hong Kong, while those from three Scandinavian countries have been moved or urged to leave as college campuses become the latest battleground in the city's 5-month-long anti-governmen [+6113 chars]"
Hong Kong Protesters Fight Off Police With Fire and Arrows,KEN MORITSUGU / AP,HONG KONG  A Hong Kong police officer was hit in the leg by an arrow and protesters set an overhead footbridge on fire Sunday as they fought to keep police using tear gas and water cannons from advancing on their university campus stronghold. Police said the,2019-11-17T15:04:27Z,"HONG KONG  A Hong Kong police officer was hit in the leg by an arrow and protesters set an overhead footbridge on fire Sunday as they fought to keep police using tear gas and water cannons from advancing on their university campus stronghold.
Police said th [+3939 chars]"
Kentucky and Virginia Democrats Push New Agendas After Election,Rick Rojas and Jonathan Martin,"Andy Beshear, who leads in the Kentucky governors race, vowed to increase funding for public education and health care, while Gov. Ralph Northam of Virginia said he would push for gun control. The landscape has changed, Mr. Northam said.",2019-11-06T19:15:27Z,"I really think a large part of the results that we saw yesterday were Virginians saying theyve had enough, Mr. Northam said about gun violence and the lack of action on gun control in the state capitol. He noted that he called a special session of the General [+1435 chars]"
Teachers and Other Readers Sound Off on International Exam Results,Derrick Bryson Taylor,"After the Program for International Student Assessment results revealed that American students werent progressing in reading and math, readers highlighted what they thought were issues in the education system.",2019-12-03T23:03:48Z,"Attendance policies in schools have also been eased in an effort to prop up graduation rates, he said. At his school, students can be absent over 15 percent of the time and still pass, he said. 
Some readers turned their attention toward funding distribution [+1567 chars]"
B.C. unveils tough new regulations to crack down on youth vaping - CTV News,"Bhinder Sajan, Andrew Weichel","B.C. unveils tough new regulations to crack down on youth vaping CTV News Youth vaping crackdown: B.C. to hike PST on vaping products, limit nicotine content Global News B.C. government moves to tax, restrict vaping products in bid to protect youth The Globe ",2019-11-14T16:52:00Z,"VANCOUVER The B.C. government has announced tough new regulations in an attempt to curb the growing trend of vaping among youths.
Health Minister Adrian Dix said the province's regulations will cover everything from the availability of vaping flavours to the [+3790 chars]"
Private investigators focused on frat party in Cornell University freshman's death,"USA TODAY NETWORK, David Robinson, USA TODAY NETWORK",Another element of the parents' search for answers is the history of Cornell student suicides connected to the gorges in Ithaca.,2019-11-28T10:30:16Z,"Fraternities have announced sweeping changes in recent years, but families of young men who have died in hazing-related incidents say it's not enough.
 USA TODAY
Antonio Tsialas, a Cornell University freshman, who died after last being seen alive at a frat  [+9449 chars]"
Fighting fire with science,Stav Dimitropoulos,"Wildfires are becoming more and more frequent around the world, making expertise in the field a hot commodity.",2019-12-04T00:00:00Z,"Mike Flannigan.Credit: Xinli Cai
Mike Flannigan is a professor with the Department of Renewable Resources at the University of Alberta, Canada. Here he speaks to Nature about his work and the boom in wildfires worldwide.
How did you get into wildfire resear [+3153 chars]"
Boy genius will graduate college at age 9,David Pescovitz,"Laurent Simons is pursuing a bachelor's degree in electrical engineering at the Eindhoven University of Technology (TUE) in the Netherlands. He's 9 years old. After graduation, he intends to earn a PhD in electrical engineering along with a medical degree. Fr",2019-11-14T17:38:10Z,"While Laurent comes from a family of doctors, his parents have so far not received any explanation as to why their child prodigy is capable of learning so quickly.
But (mother) Lydia has her own theory.
""I ate a lot of fish during the pregnancy,"" she joked. [+373 chars]"
Buttigieg says he understands the concern over remarks on minorities and education,"Donald Judd and Abby Phillip, CNN",Democratic presidential candidate Pete Buttigieg said Tuesday that he understands the criticism he has received for comments he made in 2011 about the challenges facing minority communities in education.,2019-11-26T21:24:26Z,
Operating manual for re-education camps allegedly revealed in leaked Chinese documents,"Ben Westcott and Steven Jiang, CNN","A series of leaked documents threatens to shine a spotlight on the Chinese government's Xinjiang detention centers, indicating what Beijing claims are voluntary training schools for Muslim-majority Uyghurs are in fact heavily policed re-education camps.",2019-11-25T08:19:27Z,
The economist behind Elizabeth Warrens wealth tax proposal explains how it works,Kelly Candaele,"The University of California at Berkeley economist outlines in his new book how tax injustice led to wealth inequality and offers solutions for how to combat the problem. Capital & Main is an award-winning publication that reports from California on economic,",2019-11-14T15:00:13Z,"Capital &amp; Main is an award-winning publication that reports from California on economic, political, and social issues.
As the old refrain goes, Nothing can be said to be certain except death and taxes. However, as University of California at Berkeley e [+15889 chars]"
Fighting fire with science,Stav Dimitropoulos,"Wildfires are becoming more and more frequent around the world, making expertise in the field a hot commodity.",2019-12-04T00:00:00Z,"Mike Flannigan.Credit: Xinli Cai
Mike Flannigan is a professor with the Department of Renewable Resources at the University of Alberta, Canada. Here he speaks to Nature about his work and the boom in wildfires worldwide.
How did you get into wildfire resear [+3153 chars]"
Redefining Fashion Education at Thomas Jefferson University,BoF Team,"Thomas Jefferson Universitys approach to fashion education is fuelled by pioneering combinations of disciplines and skills, made capable by its merger with Philadelphia University in 2017.",2019-11-08T17:02:49Z,"PHILADELPHIA, United States  When the health sciences-focused Thomas Jefferson University proposed a merger with the design-oriented Philadelphia University,Stephen K. Klasko, MD, MBA, president of Thomas Jefferson University told press that higher educati [+6657 chars]"
Diversity marks latest class of US Rhodes Scholars,The Associated Press,"Minorities make up the majority of the latest group of U.S. college students to be named Rhodes Scholars, and the class includes the first transgender woman selected for the prestigious program. The Rhodes Trust announced the 32 selections late Saturday after",2019-11-24T16:19:19Z,"Minorities make up the majority of the latest group of U.S. college students to be named Rhodes Scholars, and the class includes the first transgender woman selected for the prestigious program.
The Rhodes Trust announced the 32 selections late Saturday afte [+3051 chars]"
Ban the SAT and ACT,"Maxwell Strachan, Kate Lowenstein",Top University of California leaders are waking up to the fact that the SAT and ACT only deepen the inequities in our system. Its time everyone else did too.,2019-11-26T17:30:34Z,"Last week, three leaders within the largest state college system in the country came out against the SAT and ACT, the two tests most associated with college admissions, as being a discriminatory barrier to higher education. At a University of California, Berk [+9260 chars]"
"Early onset Alzheimer's disease services need to be improved for patients: doctors, advocates - CTV News",Camille Bains,"Early onset Alzheimer's disease services need to be improved for patients: doctors, advocates CTV News Former MP Lisa Raitt credits John Mann for public journey with early-onset Alzheimer's CBC.ca Its like losing an arm: Spirit of the West drummer remember",2019-11-22T17:16:00Z,"VANCOUVER -- 
Being told he was too young to have Alzheimer's disease would always catch Jim Mann off guard, but it was a nurse's comment dismissing his condition that really stung.
She looked me up and down and said, 'Well, you look fine,' said Mann, who w [+4158 chars]"
NYU Shanghai Quietly Added Pro-Government Course at Behest of Chinese Government,"Theo Wayt, Jason Koebler","The ""civic education"" course included trips to Communist memorials and video lessons such as ""promoting the prosperity of socialist culture.""",2019-11-20T15:56:53Z,"New York Universitys degree-granting Shanghai campus quietly added a Chinese civic education course last year at the behest of the Chinese government, which included a visit to a monument commemorating a close advisor of Mao Zedong and screenings of video les [+6388 chars]"
Our DNA can now prove how (un)intelligent we are,The Conversation,"Its well known that some areas of the UK are poorer than others. These include Wales and northern Britain, which used to be coal-mining areas. Now we have discovered that these regional economic inequalities are in line with regional differences in DNA as we",2019-11-27T10:23:44Z,"Its well known that some areas of the UK are poorer than others. These include Wales and northern Britain, which used to be coal-mining areas. Now we have discovered that these regional economic inequalities are in line with regional differences in DNA as wel [+5396 chars]"
"Protesters blockade universities, stockpile makeshift weapons as chaos grips Hong Kong",By Kate Lamb and Jessie Pang,"Anti-government protesters dug in at several university campuses across Hong Kong on Wednesday, setting the stage for further confrontations as police said violence in the Chinese-ruled city had reached a ""very dangerous and even deadly level"". Protesters - m",2019-11-13T02:03:07Z,"By Kate Lamb and Jessie Pang
HONG KONG (Reuters) - Anti-government protesters dug in at several university campuses across Hong Kong on Wednesday, setting the stage for further confrontations as police said violence in the Chinese-ruled city had reached a ""v [+5050 chars]"
Trump's education secretary to expand rights for students accused of sexual assault,Chris Riotta,Donald Trumps education secretary will narrow the governments scope of what is considered sexual harassment and expand rights for students accused of sexual assault in a new series of rules for universities.Betsy DeVos was reportedly preparing to release th,2019-11-26T18:25:31Z,"US Secretary of Education Betsy DeVos testifies during a congressional hearing: Getty Images
Donald Trumps education secretary will narrow the governments scope of what is considered sexual harassment and expand rights for students accused of sexual assault  [+2953 chars]"
"In China, Kids Of Unwed Mothers May Be Barred From Public Health Care, Education",Emily Feng,Being a mom without a husband leaves many women in a legal gray zone where they are unable to access medical and other public services for themselves and their children. Some women are even fined.,2019-11-06T19:36:50Z,"Unwed pregnant women in China face a legal gray zone where they are unable to access public services for themselves and their children.
I Gede Bhaskara Ryandika/Getty Images/EyeEm
When Liu, a 31-year-old Chinese insurance firm manager, learned she was pregn [+7771 chars]"
More South Korean academics caught naming kids as co-authors,Mark Zastrow,The practice was probably used to improve the childrens chances of securing a university place.,2019-11-12T00:00:00Z,"South Korea's education ministry has been investigating papers that have high-school students named as co-authors.Credit: Kim Hong-Ji AUNI/REUTERS
The number of South Korean academics accused of naming children as co-authors on research manuscripts even thou [+3966 chars]"
Research finds short-term radon test kits are not effective in measuring radon gas exposure,Science X staff,"As awareness increases about the health danger of radon gas, more people are making the decision to test their homes for the deadly gas. A University of Calgary led study finds the only reliable way to measure exposure to radon gas is with a long-term testing",2019-12-04T15:08:39Z,"As awareness increases about the health danger of radon gas, more people are making the decision to test their homes for the deadly gas. A University of Calgary led study finds the only reliable way to measure exposure to radon gas is with a long-term testing [+3714 chars]"
More South Korean academics caught naming kids as co-authors,Mark Zastrow,The practice was probably used to improve the childrens chances of securing a university place.,2019-11-12T00:00:00Z,"South Korea's education ministry has been investigating papers that have high-school students named as co-authors.Credit: Kim Hong-Ji AUNI/REUTERS
The number of South Korean academics accused of naming children as co-authors on research manuscripts even thou [+3966 chars]"
Scandal of kids posing as researchers continues to grow in South Korea,Beth Mole,"As in the US, South Korea is scrutinizing how elites get their kids into college.",2019-11-13T17:30:25Z,"Enlarge/ Not one of the young alleged science-wizzes involved here.
1 with 1 posters participating
More South Korean researchers are accused of fraudulently adding the names of children and teens to their published scientific manuscripts as part of an ongoi [+2314 chars]"
"Brian Kantor, Internet and AMPRNet Pioneer, WB6CYT, Dies",EditorDavid,"Jeff Archambeault (Slashdot reader #41,488) writes: Amateur Radio and computing worlds mourn the death of another pioneer. From Phil Karn, KA9Q on the the 44Net mailing list: I have very sad news. My good friend, Brian Kantor, WB6CYT suddenly passed away this",2019-11-24T02:34:00Z,"Amateur Radio and computing worlds mourn the death of another pioneer.
From Phil Karn, KA9Q on the the 44Net mailing list:
I have very sad news. My good friend, Brian Kantor, WB6CYT suddenly passed away this week at his home in San Diego, California. Brian  [+1315 chars]"
The Sims 4's New College Expansion Is As Stressful And Gratifying As The Real Thing,Gita Jackson,"Addison, the Sim I made to check out the latest college-themed Sims 4 expansion, has had a very bad week. Shes a Fine Arts major, taking a class about video games as an elective. Her schedule, as such, was a complete mess. Monday and Wednesday she had three ",2019-11-21T19:00:00Z,"Addison, the Sim I made to check out the latest college-themed Sims 4 expansion, has had a very bad week. Shes a Fine Arts major, taking a class about video games as an elective. Her schedule, as such, was a complete mess. Monday and Wednesday she had three c [+3165 chars]"
